Word-Id,Word-Text
58277c84-2ea7-4fbe-bcb1-bb475d475e91,Conestoa-Rovers
a184b993-1d91-41d8-9694-9ad604ffea67,&
e04327e1-6242-476a-98a8-f2693d4a8550,"Associates,"
5b15ec74-9b67-434c-b27e-88289b07b81f,Inc.
56af3c14-d7ab-48a5-b00a-7328d61c44c1,BORING
dae09a50-519f-4fd2-9b38-ebbf4447ada3,/
e6bd5b55-4f9b-4c09-8a8f-db9472589333,WELL
1c69c521-7139-42c0-a388-40f447f6e307,LOG
0e169eb8-9c85-429e-ac32-94c8adcaa35a,5900
13135adc-2fa2-466b-8bb7-af6666f70a2a,Hollis
3f04c089-10df-4be8-bf19-1a7d62b57a60,"Street,"
8f066dc7-4882-4b77-8c89-214483ff82bc,Suite
ef519cb3-5d10-4b94-bb7c-339848118dab,A
8fc6b975-27ea-4a6f-afc4-01e1eead5ae3,GRVA
bccf72b3-1ea1-49fd-a675-3ef8ea3bbd6e,"Emeryville,"
b5b695ba-6b54-41ed-aab4-df906a07f05a,CA
999a54ae-11f0-4271-a60a-c4e8b653a662,94608
425c67f1-bd3b-49ed-80d0-8d36bdad5603,Telephone:
e254dcf2-c439-4706-91b0-e9b4e51362ec,510-420-0700
65caeca3-c725-4288-9387-fffb937634fd,Fax:
4b388f0c-75f7-4256-93dd-914810886f0e,510-420-9170
04697a76-4f61-424b-97fb-f80bfb5ef270,CLIENT
1f0a4b22-1669-446d-ae9d-0ebefc616fd7,NAME
86226f94-f3e3-4003-b932-d403b89e54f1,Chevron
5f678bf5-0c00-44fb-b1c8-8055c79cbeca,Environmental
6365bcd2-17dc-40fe-964b-b87dd4237660,Management
d7307676-a908-4b60-83a6-cf34ee622085,Company
34971ae9-011d-4c09-a7ec-ce6052c178e7,BORING/WELL
8bea8f90-9a72-4f04-be5b-d5374a3a1f13,NAME
4bf4e4cb-0f07-463e-be2b-8b99dd2088b8,CPT-1
f05c8435-e006-4dba-9197-b56e771be691,JOB/SITE
6ceb7d03-5268-44cc-853c-0bb4e16ec383,NAME
059d510a-f5a5-44ad-89e9-38ef0cd0089a,76
6f21b597-f678-4d5e-922a-70b46659ec8a,Seervice
bb5d91dd-9142-43cf-8525-7bbd90f489de,Station
68e80b80-b804-4e1a-8c02-22ce0f07bb34,1871
33212077-5390-4968-8615-36eda505d112,(351644)
177eeeee-a1c3-40d2-a6d1-b1177ec3cd11,DRILLING
32288c48-9225-4dfa-878a-a854766f715f,STARTED
fd344284-77fc-4f07-931a-6531de0f1854,26-Oct-11
5de7d0e3-27da-45b8-8f99-c468d03d60bb,LOCATION
c4962371-a453-493e-bbb1-ca1c85b19ab8,66-96
1072d6dd-f584-4223-aa89-c7b41636c9c6,MacArthur
66ad0bac-3c68-4227-969f-171fee1a6a62,"Blvd,"
e083cb33-5ea2-468b-b365-749c04770006,"Oakland,"
9f6cfe72-8849-4e7f-b657-896608102391,CA
e1a93ee0-5b19-4777-abae-a7b794735353,DRILLING
48213eab-136a-406b-ac32-859227fc580a,COMPLETED
718ca1f4-8f1d-4de3-8aea-4d31450250b5,26-Oct-11
9776046c-6856-4d23-8f5b-a37176e75208,Continued
96a5f954-625c-42d3-8324-24ae1ae182e1,from
3ff0a285-2b20-446e-b6b3-00b420868cdf,Previous
fed94cbc-47a1-4328-b8fc-fd6118fbc0a1,Page
6232384c-457f-497a-b7fa-b6b72098a9a5,GEOLOGIC
5b41bf15-1bb6-4267-8ee9-04f2e0ea021b,DESCRIPTION
4869ea73-b4f2-4f7f-a692-e0071ca27040,WELL
cc1d9770-39cf-4fee-b5ba-7c1fdf244ac2,DIAGRAM
00873126-7627-4599-951b-9daf46402df5,ML
b7d6ff46-02b9-46f0-a469-268e9e34be17,20.5
a014adbe-d448-4af6-a65f-187782a0cc90,24.5
f27858c4-5084-4c3e-82a9-780570062a29,0
91d51618-dcaa-4c51-b510-036c26dba79f,CPT-1-S-25
86f4e088-69f7-4aaa-ad6f-3709349f49f9,Sandy
f015c582-7af5-47e0-93e9-d022c69996b0,SILT:brown;
cbfe7729-6b23-4cb0-bd74-6d726201e397,moist;
1f87c81d-3e5e-4a7f-b020-49252f1847e9,stiff;
677a1f84-9c48-4465-8ddb-5e5d38706176,low
c6dd1690-39ae-4170-851e-4b0815f69dae,plasticity.
1fa2d456-e2db-4c01-a082-0dd5f2d22c29,25
b5257d28-3a72-42a2-99ec-1f7a7c578412,ML
61f6b8bf-ab36-4df2-a8c0-59b6d76adbed,25.5
4d66c4fb-8e06-4da6-a3d8-c5347ef3d5aa,29.5
